연번,시군,시설종류,시설명,소재지,연락처,정원,현원
1,포항시,노인요양시설,포항위덕어르신마을,포항시 남구 연일읍 동해대로 341,054-278-2033,50,42
2,포항시,노인요양시설,오천행복요양원,포항시 남구 오천읍 해병로 231번길 28-1,054-293-8511,28,28
3,포항시,노인요양공동생활가정,해인실버타운1,포항시 남구 동해면 도구길71번길27-6,054-281-3526,6,6
4,포항시,노인요양공동생활가정,해인실버타운2,포항시 남구 구룡포읍 호미로41,054-285-3526,7,6
5,포항시,노인요양시설,실버천사요양원,포항 남구 문예로 75,054-285-1111,46,43
6,포항시,노인요양공동생활가정,다예요양센터,포항시 남구 오천읍 하원로 46번길 10-3,054-292-3304,9,7
7,포항시,노인요양시설,늘푸른요양원,포항시남구청림남길23-2(청림동),054-291-5565,20,20
8,포항시,노인요양시설,동해요양원,포항시남구 동해면 동해안로5756,054-284-7778,25,25
9,포항시,노인요양시설,석병요양원,포항시 남구 구룡포읍 일출로 318,054-283-1281,29,28
10,포항시,노인요양시설,유락원,포항시 남구 장기면 산서길 54,054-276-1707,90,56
11,포항시,노인요양시설,손안애 복 요양원,포항시 남구 동해면 상정길 3-8,054-273-8787,42,32
12,포항시,노인요양시설,햇빛마을,포항시 남구 대잠동길 17-1,054-274-7744,90,85
13,포항시,노인요양시설,해와달노인복지센터,포항시 남구 오천읍 정몽주로 714-7,054-278-9091,45,36
14,포항시,노인요양공동생활가정,좋은이웃마을 노인요양공동생활가정,포항시 남구 연일읍 중명길 15-10,054-281-0675,9,8
15,포항시,노인요양시설,한가족 요양원,포항시남구오천읍 장기로 1580번길 46,054-277-8383,28,27
16,포항시,노인요양시설,학계노인전문요양원,포항시 남구 장기면 학삼길 127,054-293-0669,35,21
17,포항시,노인요양시설,포항온누리요양원,포항시 남구 송도로 60,054-240-2000,32,32
18,포항시,노인요양시설,가족사랑요양원,포항시 남구 중앙로 154 비즈타워 7층,054-283-0988,48,40
19,포항시,노인요양시설,동호요양실버타운,포항시 남구 호미곶면 해맞이로 125번길 287,054-282-6602,61,34
20,포항시,노인요양시설,정애원,포항시 북구 청하면 청계길 351,054-232-0395,183,116
21,포항시,노인요양시설,엘림실버빌,포항시 북구 송라면 동해대로 2792-99,054-256-3800,62,60
22,포항시,노인요양시설,우현요양원,포항시 북구 아치로 69-32,054-249-1120,23,11
