 연번,구분,학원명(교습소명),장소,교습과목,전화번호
1,학원,늘푸른미술학원,경상북도 청도군 청도읍 청화로 102 (청도읍),미술,054-371-6442
2,학원,WILLSCHOOL입시학원,경상북도 청도군 청도읍 고수구길 61 (청도읍),보습,054-373-5062
3,학원,계명학원,경상북도 청도군 청도읍 고수서4길 3-6 (청도읍),보습,054-373-6025
4,학원,명문독서실,경상북도 청도군 청도읍 고수구길 90-1 (청도읍),독서실(유아/초·중·고),054-372-8155
5,학원,한옥아카데미학원,경상북도 청도군 화양읍 양정길 156 (화양읍),조경,054-373-8555
6,학원,연세영어학원,경상북도 청도군 청도읍 청화로 117 (청도읍),보습,054-373-7787
7,학원,샤론무용학원,경상북도 청도군 청도읍 청화로 150-1 (청도읍),무용,054-372-0722
8,학원,수재학원,경상북도 청도군 청도읍 고수구길 22 (청도읍),보습,054-373-9333
9,학원,도레미입시학원,경상북도 청도군 풍각면 송서7길 4 (풍각면),보습,054-372-2752
10,학원,장원입시학원,경상북도 청도군 청도읍 청화로 146 (청도읍),보습,054-371-0400
11,학원,최콩학원,경상북도 청도군 청도읍 청화로 85 (청도읍),보습,070-8639-7606
12,학원,윤선생영어숲학원,경상북도 청도군 청도읍 청화로 144 (청도읍),보습,054-371-6224
13,학원,레니잉글리쉬학원,"경상북도 청도군 청도읍 고수산복길 7-10 , 월성위너스타운 201호 (청도읍)",보습,054-371-0579
14,학원,배쌤영어왕쌤수학전문학원,경상북도 청도군 청도읍 청화로 82 (청도읍),보습,054-373-7174
15,학원,뮤엠영어설학원,"경상북도 청도군 청도읍 고수서2길 10-5 , 3층 (청도읍)",보습,054-373-7866
16,학원,다윈학원,경상북도 청도군 화양읍 청화로 75 (화양읍),보습,054-372-8500
17,학원,백석국어학원,경상북도 청도군 청도읍 고수구길 80 (청도읍),보습,054-371-1901
18,학원,세이브수학학원,"경상북도 청도군 청도읍 고수구길 71-1 , 2층 (청도읍)",보습,054-373-7352
19,학원,한국비전교육학원,"경상북도 청도군 청도읍 양정길 1 , 2층 (청도읍)",화술,054-372-3364
20,학원,드림뮤직팩토리학원,경상북도 청도군 화양읍 청화1길 16-5 (화양읍),음악,
21,학원,강샘학원,경상북도 청도군 이서면 학산2길 55 (이서면),보습,
22,학원,재능스스로러닝센터청도학원,경상북도 청도군 화양읍 청화로 57 (화양읍),보습,
23,학원,SKY멘토입시학원,경상북도 청도군 청도읍 냉정길 4 (청도읍),보습,054-373-2378
24,학원,도레미음악학원,경상북도 청도군 풍각면 송서7길 4-3(풍각면),보습,054-372-2758
25,학원,정병현미술학원,경상북도 청도군 청도읍 고수구길 61(청도읍),보습,054-373-4037
26,학원,에듀탑입시학원,"경상북도 청도군 풍각면 봉기로 157, 2층",보습,054-373-4278
27,학원,숲하나음악학원,"경상북도 청도군 풍각면 백안길 11-47, 1층(풍각면)",음악,054-996-9960
28,학원,3030영어매쓰프로학원,"경북 청도군 화양읍 청화로 51, 1층(화양읍)",보습,
29,학원,진우웹툰학원,경북 청도군 청도읍 고수서3길 7(청도읍),미술,
30,교습소,예원피아노교습소,"경상북도 청도군 이서면 학산길 37 , 2층 (이서면)",피아노,054-373-7237
31,교습소,휴먼시아수학교습소,경상북도 청도군 화양읍 범곡길 3-11,수학,070-8878-8204
32,교습소,발레스토리 발레교습소,경상북도 청도군 화양읍 청화로 51 (화양읍),발레,
33,교습소,조은수학교습소,경상북도 청도군 화양읍 청화3길 6 (화양읍),수학,054-371-6653
34,교습소,아트팩토리_띠로리미술교습소,경상북도 청도군 청도읍 새마을로 1325 (청도읍),미술,
35,교습소,허주애피아노 교습소,"경상북도 청도군 청도읍 고수산복길 6 , 2층 (청도읍)",피아노,
36,교습소,청명수학교습소,경상북도 청도군 화양읍 청화로 61 2층 (화양읍),수학,
